scenario,method,episodes,successes,mean_simulated_duration_s,analytic_requests,stale_discarded,stale_adopted
nominal,fixed_plan,24,24,2.15,0,0,0
nominal,instant_rules,24,24,2.15,0,0,0
nominal,delayed_unchecked,24,24,2.15,0,0,0
nominal,delayed_checked,24,24,2.15,0,0,0
shift,fixed_plan,24,0,2.15,0,0,0
shift,instant_rules,24,24,2.4,24,0,0
shift,delayed_unchecked,24,24,2.7000000000000006,24,0,0
shift,delayed_checked,24,24,2.75,24,0,0
shift_during_wait,fixed_plan,24,0,2.15,0,0,0
shift_during_wait,instant_rules,24,24,2.65,48,0,0
shift_during_wait,delayed_unchecked,24,24,3.9500000000000006,24,0,24
shift_during_wait,delayed_checked,24,24,3.15,48,24,0
occluded_shift,fixed_plan,24,0,2.15,0,0,0
occluded_shift,instant_rules,24,24,2.7999999999999994,24,0,0
occluded_shift,delayed_unchecked,24,24,3.1,24,0,0
occluded_shift,delayed_checked,24,24,3.15,24,0,0
slip,fixed_plan,24,0,2.15,0,0,0
slip,instant_rules,24,24,3.4,0,0,0
slip,delayed_unchecked,24,24,3.4,0,0,0
slip,delayed_checked,24,24,3.4,0,0,0
tracking_fault,fixed_plan,24,0,0.5,0,0,0
tracking_fault,instant_rules,24,0,0.5,0,0,0
tracking_fault,delayed_unchecked,24,0,0.5,0,0,0
tracking_fault,delayed_checked,24,0,0.5,0,0,0
all,fixed_plan,144,24,1.875,0,0,0
all,instant_rules,144,120,2.3166666666666664,96,0,0
all,delayed_unchecked,144,120,2.6333333333333333,72,0,24
all,delayed_checked,144,120,2.5166666666666666,96,24,0
