cohort,method,mean_cost,success_rate,sense_rate,mean_duration_s,rescue_rate,spoil_rate
iid,effect64_seed11,0.3555863447842276,0.72412109375,0.5991666666666666,0.33672064303643834,0.16850260416666665,0.054168294270833334
iid,effect64_seed22,0.3555899427231264,0.7244401041666667,0.5991666666666666,0.3375644470892709,0.1681298828125,0.0534765625
iid,effect64_seed33,0.3554573392276087,0.7241471354166666,0.6,0.3365633520767612,0.1677490234375,0.053388671875
iid,raw_candidate64_seed11,0.3555936569229675,0.7241438802083333,0.6041666666666666,0.33712546962596796,0.1690673828125,0.05471028645833333
iid,raw_candidate64_seed22,0.35537290262226406,0.7235123697916667,0.5808333333333333,0.3327080268561039,0.16499348958333335,0.051267903645833335
iid,raw_candidate64_seed33,0.3556506200330066,0.7234098307291666,0.5791666666666667,0.3340524576100231,0.16412109375,0.050498046875
iid,outcome64_seed11,0.3562577010627327,0.7226774088541666,0.5891666666666666,0.3346090449165439,0.16659505208333333,0.05370442708333333
iid,outcome64_seed22,0.35615306829005183,0.7223697916666667,0.5716666666666667,0.33167369288532184,0.16305338541666667,0.050470377604166665
iid,outcome64_seed33,0.3563937362823474,0.7219466145833333,0.5733333333333334,0.3314195623374147,0.16272298177083333,0.050563151041666664
iid,known_model_mc128,0.3584142083553464,0.7216536458333334,0.6066666666666667,0.339309124010258,0.1689501953125,0.05708333333333333
iid,known_model_mc2048,0.3550830718822908,0.7240022786458333,0.5883333333333334,0.3346687601330112,0.16652994791666667,0.052314453125
iid,always_act,0.4436386335885521,0.6097867838541666,0.0,0.22,0.0,0.0
iid,always_look,0.49352152338794286,0.6339664713541666,1.0,0.5258952033706557,0.17123209635416667,0.14705240885416668
iid,always_probe,0.45011074172429033,0.6539371744791667,1.0,0.4271191917341531,0.22641764322916666,0.18226725260416668
delay,effect64_seed11,0.37850245609196503,0.6984830729166667,0.5008333333333334,0.3391177006743616,0.153740234375,0.05940104166666667
delay,effect64_seed22,0.3786218477540826,0.6985872395833334,0.4925,0.3387505313712262,0.152021484375,0.057578125
delay,effect64_seed33,0.37830416845757575,0.6991080729166667,0.5033333333333333,0.33871456619792134,0.1553076171875,0.060343424479166664
delay,raw_candidate64_seed11,0.37896101219402,0.6959505208333333,0.4825,0.32820019935457734,0.14974934895833333,0.057942708333333336
delay,raw_candidate64_seed22,0.37886709945582225,0.696376953125,0.4841666666666667,0.32897442664698884,0.15050618489583334,0.05827311197916667
delay,raw_candidate64_seed33,0.3793182726944403,0.6950309244791667,0.4741666666666667,0.324180923607576,0.14744466145833332,0.0565576171875
delay,outcome64_seed11,0.3822936903351047,0.6947932942708334,0.5225,0.341266882251641,0.15777994791666666,0.06713053385416666
delay,outcome64_seed22,0.38142882534350436,0.6936214192708333,0.4825,0.32936675873170523,0.14788736979166667,0.05840983072916667
delay,outcome64_seed33,0.381117230832015,0.6954134114583334,0.5116666666666667,0.3368646286061175,0.15498046875,0.0637109375
delay,known_model_mc128,0.3815726086130532,0.6952034505208333,0.495,0.33712516111241003,0.15148763020833333,0.06042805989583333
delay,known_model_mc2048,0.3780581475323393,0.698955078125,0.4975,0.33654550537806105,0.15346516927083334,0.05865397135416667
delay,always_act,0.4482531738237779,0.6041438802083333,0.0,0.22,0.0,0.0
delay,always_look,0.7868701954652589,0.4503955078125,1.0,0.9941271952445974,0.12404134114583333,0.27778971354166665
delay,always_probe,0.4513864118585021,0.6504427083333333,1.0,0.4264926650049833,0.22713053385416668,0.18083170572916665
cost,effect64_seed11,0.5755548390796713,0.6885791015625,0.32083333333333336,0.2688972212909725,0.1054443359375,0.0217431640625
cost,effect64_seed22,0.5757830899489214,0.6892317708333333,0.3233333333333333,0.2700973761853312,0.1057763671875,0.021422526041666667
cost,effect64_seed33,0.5758793662616125,0.6880240885416666,0.31666666666666665,0.26889412828007175,0.104287109375,0.021140950520833333
cost,raw_candidate64_seed11,0.5756575293141799,0.6880550130208334,0.32083333333333336,0.2689546702251527,0.10475260416666667,0.021575520833333334
cost,raw_candidate64_seed22,0.5755339826934506,0.6874641927083334,0.31083333333333335,0.26782271995356055,0.10359375,0.021007486979166667
cost,raw_candidate64_seed33,0.5758909784806984,0.6865283203125,0.30666666666666664,0.2674968499369052,0.10159993489583333,0.019949544270833335
cost,outcome64_seed11,0.5762634169622326,0.6863330078125,0.3125,0.26767557207756787,0.10297688802083334,0.021521809895833334
cost,outcome64_seed22,0.5762284743992586,0.6851383463541667,0.3016666666666667,0.266216906002364,0.10061848958333333,0.020358072916666668
cost,outcome64_seed33,0.5764696312208614,0.6858984375,0.31083333333333335,0.26746797304117936,0.10208984375,0.0210693359375
cost,known_model_mc128,0.5784619562860409,0.6867822265625,0.32166666666666666,0.2702573838601005,0.10526041666666666,0.023356119791666668
cost,known_model_mc2048,0.5754077098378284,0.6864013671875,0.30666666666666664,0.2666996307132305,0.10215657552083333,0.020633138020833334
cost,always_act,0.6135773384452321,0.6048779296875,0.0,0.22,0.0,0.0
cost,always_look,0.8815990961747392,0.6388134765625,1.0,0.524329118180299,0.17704752604166665,0.14311197916666665
cost,always_probe,0.774530114451036,0.6490445963541667,1.0,0.4260459025726147,0.22788899739583332,0.18372233072916666
